timeDeltas	HMD	RightTracker	LeftTracker
420528	0,321 1,666 0,247 0,109 -0,076 -0,012 0,991	0,271 1,245 0,596 -0,354 -0,213 -0,153 0,898	0,104 1,248 0,355 -0,379 -0,201 -0,038 0,903
420544	0,321 1,666 0,247 0,109 -0,076 -0,012 0,991	0,271 1,245 0,596 -0,354 -0,213 -0,153 0,898	0,104 1,248 0,355 -0,379 -0,201 -0,038 0,903
420558	0,321 1,666 0,247 0,109 -0,076 -0,012 0,991	0,271 1,245 0,596 -0,354 -0,213 -0,153 0,898	0,104 1,248 0,355 -0,379 -0,201 -0,038 0,903
420578	0,320 1,667 0,245 0,106 -0,082 -0,015 0,991	0,268 1,244 0,596 -0,356 -0,215 -0,153 0,897	0,102 1,248 0,355 -0,379 -0,203 -0,037 0,902
420602	0,320 1,669 0,242 0,103 -0,084 -0,015 0,991	0,265 1,242 0,598 -0,356 -0,216 -0,151 0,897	0,101 1,247 0,356 -0,381 -0,203 -0,033 0,901
420629	0,320 1,670 0,242 0,102 -0,083 -0,015 0,991	0,265 1,242 0,597 -0,355 -0,214 -0,153 0,897	0,101 1,247 0,355 -0,381 -0,203 -0,035 0,902
420639	0,320 1,668 0,244 0,103 -0,082 -0,015 0,991	0,267 1,243 0,596 -0,355 -0,214 -0,153 0,897	0,101 1,248 0,355 -0,380 -0,202 -0,036 0,902
420651	0,320 1,668 0,244 0,103 -0,082 -0,015 0,991	0,267 1,243 0,596 -0,355 -0,214 -0,153 0,897	0,101 1,248 0,355 -0,380 -0,202 -0,036 0,902
420669	0,320 1,668 0,244 0,103 -0,082 -0,015 0,991	0,267 1,243 0,596 -0,355 -0,214 -0,153 0,897	0,101 1,248 0,355 -0,380 -0,202 -0,036 0,902
420694	0,320 1,670 0,241 0,094 -0,082 -0,015 0,992	0,267 1,243 0,596 -0,354 -0,214 -0,153 0,897	0,100 1,247 0,356 -0,380 -0,203 -0,034 0,902
420716	0,320 1,670 0,241 0,094 -0,082 -0,015 0,992	0,267 1,243 0,596 -0,354 -0,214 -0,153 0,897	0,100 1,247 0,356 -0,380 -0,203 -0,034 0,902
420730	0,319 1,671 0,241 0,090 -0,081 -0,015 0,992	0,267 1,245 0,591 -0,354 -0,207 -0,146 0,900	0,101 1,247 0,355 -0,380 -0,203 -0,034 0,902
420740	0,319 1,671 0,241 0,090 -0,081 -0,015 0,992	0,267 1,245 0,591 -0,354 -0,207 -0,146 0,900	0,101 1,247 0,355 -0,380 -0,203 -0,034 0,902
420766	0,319 1,672 0,239 0,082 -0,080 -0,017 0,993	0,270 1,247 0,586 -0,351 -0,210 -0,147 0,901	0,101 1,247 0,355 -0,379 -0,203 -0,033 0,902
420776	0,319 1,672 0,239 0,082 -0,080 -0,017 0,993	0,270 1,247 0,586 -0,351 -0,210 -0,147 0,901	0,101 1,247 0,355 -0,379 -0,203 -0,033 0,902
420794	0,320 1,677 0,237 0,062 -0,071 -0,021 0,995	0,270 1,247 0,586 -0,351 -0,210 -0,148 0,901	0,101 1,246 0,355 -0,380 -0,202 -0,032 0,902
420823	0,320 1,677 0,237 0,062 -0,071 -0,021 0,995	0,270 1,247 0,586 -0,351 -0,210 -0,148 0,901	0,101 1,246 0,355 -0,380 -0,202 -0,032 0,902
420845	0,323 1,685 0,232 0,021 -0,052 -0,022 0,998	0,270 1,247 0,586 -0,351 -0,210 -0,148 0,900	0,099 1,245 0,356 -0,378 -0,203 -0,031 0,903
420860	0,323 1,685 0,232 0,021 -0,052 -0,022 0,998	0,270 1,247 0,586 -0,351 -0,210 -0,148 0,900	0,099 1,245 0,356 -0,378 -0,203 -0,031 0,903
420891	0,326 1,696 0,224 -0,033 -0,032 -0,021 0,999	0,270 1,247 0,587 -0,349 -0,209 -0,149 0,901	0,097 1,243 0,357 -0,376 -0,204 -0,030 0,903
420907	0,326 1,696 0,224 -0,033 -0,032 -0,021 0,999	0,270 1,247 0,587 -0,349 -0,209 -0,149 0,901	0,097 1,243 0,357 -0,376 -0,204 -0,030 0,903
420923	0,326 1,699 0,220 -0,070 -0,021 -0,021 0,997	0,270 1,247 0,587 -0,349 -0,209 -0,150 0,901	0,096 1,241 0,359 -0,373 -0,204 -0,029 0,905
420931	0,326 1,699 0,220 -0,070 -0,021 -0,021 0,997	0,270 1,247 0,587 -0,349 -0,209 -0,150 0,901	0,096 1,241 0,359 -0,373 -0,204 -0,029 0,905
420960	0,326 1,699 0,220 -0,070 -0,021 -0,021 0,997	0,270 1,247 0,587 -0,349 -0,209 -0,150 0,901	0,096 1,241 0,359 -0,373 -0,204 -0,029 0,905
420983	0,326 1,707 0,211 -0,119 -0,011 -0,021 0,993	0,271 1,247 0,587 -0,348 -0,209 -0,152 0,901	0,094 1,240 0,361 -0,370 -0,205 -0,028 0,906
421006	0,326 1,709 0,205 -0,157 -0,006 -0,023 0,987	0,271 1,247 0,587 -0,347 -0,209 -0,153 0,902	0,095 1,239 0,362 -0,368 -0,205 -0,027 0,907
421018	0,326 1,709 0,205 -0,157 -0,006 -0,023 0,987	0,271 1,247 0,587 -0,347 -0,209 -0,153 0,902	0,095 1,239 0,362 -0,368 -0,205 -0,027 0,907
421038	0,326 1,709 0,205 -0,157 -0,006 -0,023 0,987	0,271 1,247 0,587 -0,347 -0,209 -0,153 0,902	0,095 1,239 0,362 -0,368 -0,205 -0,027 0,907
421051	0,324 1,711 0,201 -0,180 -0,005 -0,022 0,983	0,267 1,245 0,586 -0,345 -0,206 -0,150 0,903	0,096 1,239 0,363 -0,367 -0,204 -0,026 0,907
421073	0,324 1,711 0,201 -0,180 -0,005 -0,022 0,983	0,267 1,245 0,586 -0,345 -0,206 -0,150 0,903	0,096 1,239 0,363 -0,367 -0,204 -0,026 0,907
421101	0,323 1,713 0,196 -0,208 -0,006 -0,023 0,978	0,267 1,244 0,586 -0,345 -0,207 -0,149 0,903	0,097 1,240 0,364 -0,370 -0,201 -0,024 0,907
421121	0,323 1,713 0,196 -0,208 -0,006 -0,023 0,978	0,267 1,244 0,586 -0,345 -0,207 -0,149 0,903	0,097 1,240 0,364 -0,370 -0,201 -0,024 0,907
421159	0,323 1,713 0,193 -0,220 -0,005 -0,025 0,975	0,267 1,243 0,586 -0,345 -0,206 -0,149 0,903	0,098 1,241 0,364 -0,376 -0,200 -0,026 0,904
421173	0,322 1,714 0,188 -0,236 -0,004 -0,027 0,971	0,266 1,244 0,588 -0,345 -0,202 -0,146 0,905	0,102 1,244 0,361 -0,392 -0,191 -0,040 0,899
421219	0,322 1,714 0,188 -0,236 -0,004 -0,027 0,971	0,266 1,244 0,588 -0,345 -0,202 -0,146 0,905	0,102 1,244 0,361 -0,392 -0,191 -0,040 0,899
421229	0,322 1,716 0,184 -0,246 -0,004 -0,030 0,969	0,269 1,245 0,586 -0,344 -0,199 -0,145 0,906	0,100 1,239 0,369 -0,363 -0,191 -0,049 0,911
421261	0,323 1,717 0,178 -0,259 -0,001 -0,033 0,965	0,269 1,246 0,588 -0,346 -0,197 -0,145 0,906	0,100 1,241 0,370 -0,373 -0,191 -0,040 0,907
421272	0,323 1,717 0,178 -0,259 -0,001 -0,033 0,965	0,269 1,246 0,588 -0,346 -0,197 -0,145 0,906	0,100 1,241 0,370 -0,373 -0,191 -0,040 0,907
421294	0,323 1,718 0,173 -0,274 0,000 -0,036 0,961	0,267 1,246 0,590 -0,346 -0,195 -0,144 0,907	0,101 1,241 0,372 -0,375 -0,184 -0,036 0,908
421322	0,323 1,718 0,173 -0,274 0,000 -0,036 0,961	0,267 1,246 0,590 -0,346 -0,195 -0,144 0,907	0,101 1,241 0,372 -0,375 -0,184 -0,036 0,908
421349	0,323 1,719 0,170 -0,283 0,001 -0,037 0,958	0,266 1,246 0,592 -0,348 -0,195 -0,140 0,906	0,100 1,242 0,374 -0,371 -0,187 -0,034 0,909
421371	0,322 1,720 0,167 -0,292 0,002 -0,037 0,956	0,266 1,247 0,594 -0,346 -0,194 -0,141 0,907	0,100 1,242 0,375 -0,372 -0,186 -0,033 0,909
421381	0,322 1,720 0,167 -0,292 0,002 -0,037 0,956	0,266 1,247 0,594 -0,346 -0,194 -0,141 0,907	0,100 1,242 0,375 -0,372 -0,186 -0,033 0,909
421396	0,322 1,720 0,167 -0,292 0,002 -0,037 0,956	0,266 1,247 0,594 -0,346 -0,194 -0,141 0,907	0,100 1,242 0,375 -0,372 -0,186 -0,033 0,909
421412	0,322 1,720 0,164 -0,300 0,002 -0,038 0,953	0,266 1,248 0,595 -0,348 -0,194 -0,142 0,906	0,099 1,242 0,376 -0,374 -0,186 -0,034 0,908
421424	0,322 1,720 0,164 -0,300 0,002 -0,038 0,953	0,266 1,248 0,595 -0,348 -0,194 -0,142 0,906	0,099 1,242 0,376 -0,374 -0,186 -0,034 0,908
421436	0,322 1,720 0,164 -0,300 0,002 -0,038 0,953	0,266 1,248 0,595 -0,348 -0,194 -0,142 0,906	0,099 1,242 0,376 -0,374 -0,186 -0,034 0,908
421449	0,320 1,720 0,162 -0,307 0,003 -0,039 0,951	0,268 1,249 0,595 -0,350 -0,195 -0,143 0,905	0,098 1,243 0,377 -0,374 -0,188 -0,032 0,908
421478	0,320 1,720 0,162 -0,307 0,003 -0,039 0,951	0,268 1,249 0,595 -0,350 -0,195 -0,143 0,905	0,098 1,243 0,377 -0,374 -0,188 -0,032 0,908
421506	0,319 1,721 0,158 -0,317 0,003 -0,041 0,948	0,268 1,249 0,597 -0,351 -0,192 -0,144 0,905	0,098 1,244 0,379 -0,375 -0,187 -0,029 0,907
421539	0,319 1,721 0,158 -0,317 0,003 -0,041 0,948	0,268 1,249 0,597 -0,351 -0,192 -0,144 0,905	0,098 1,244 0,379 -0,375 -0,187 -0,029 0,907
